
2025/04/09 (18:17:02) | ===> btop++ v.1.4.0
2025/04/09 (18:17:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/09 (18:28:08) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/04/09 (18:28:15) | ===> btop++ v.1.4.0
2025/04/09 (18:28:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (18:33:50) | ===> btop++ v.1.4.0
2025/04/09 (18:33:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/09 (18:34:08) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/04/09 (18:34:12) | ===> btop++ v.1.4.0
2025/04/09 (18:34:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (18:34:31) | ===> btop++ v.1.4.0
2025/04/09 (18:34:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (18:34:36) | ===> btop++ v.1.4.0
2025/04/09 (18:34:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (18:37:36) | ===> btop++ v.1.4.0
2025/04/09 (18:37:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (18:41:54) | ===> btop++ v.1.4.0
2025/04/09 (18:41:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (18:43:42) | ===> btop++ v.1.4.0
2025/04/09 (18:43:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (19:02:45) | ===> btop++ v.1.4.0
2025/04/09 (19:02:45) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/04/09 (19:03:01) | ===> btop++ v.1.4.0
2025/04/09 (19:03:01) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/04/09 (19:03:18) | ===> btop++ v.1.4.0
2025/04/09 (19:03:18) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/04/09 (19:03:20) | ===> btop++ v.1.4.0
2025/04/09 (19:03:20) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/04/09 (19:03:32) | ===> btop++ v.1.4.0
2025/04/09 (19:03:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (19:04:14) | ===> btop++ v.1.4.0
2025/04/09 (19:04:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (19:04:30) | ===> btop++ v.1.4.0
2025/04/09 (19:04:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (19:06:04) | ===> btop++ v.1.4.0
2025/04/09 (19:06:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (19:08:00) | ===> btop++ v.1.4.0
2025/04/09 (19:08:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (19:10:00) | ===> btop++ v.1.4.0
